from,to,label,sourceRelationship,sourceBaseClass,sourceDependentClass
ci-customer-gateway,ci-vpn-connection,Contains,Contains (parent),Customer Gateway,VPN Connection
ci-cloud-service-account,ci-google-organization-project,Depends on,Owns (parent),Cloud Service Account,Google Organization Project
ci-computer,ci-storage-hba,Depends on,Owns (parent),Computer,Storage HBA
ci-computer,ci-hyper-v-virtual-machine-instance,Runs on,Instantiates (parent),Computer,Hyper-V Virtual Machine Instance
ci-azure-ai-project,ci-azure-ai-agent,Contains,Contains (parent),Azure AI Project,Azure AI Agent
ci-hyper-v-virtual-machine-instance,ci-computer,Runs on,Instantiated by (child),Hyper-V Virtual Machine Instance,Computer
ci-cloudfoundry-space-service-instance,ci-cloudfoundry-application,Uses,Used by (child),CloudFoundry Space Service Instance,CloudFoundry Application
ci-solaris-server,ci-fibre-channel-port,Depends on,Owns (parent),Solaris Server,Fibre Channel Port
ci-database,ci-cloud-hardware-type,Uses,Provisioned From (parent),Database,Cloud Hardware Type
ci-ip-switch,ci-aix-server,Connects to,IP Connection (child),IP Switch,AIX Server
ci-kafka-topic,ci-kafka-broker,Contains,Contained by (child),Kafka Topic,Kafka Broker
ci-cloud-service-account,ci-cloud-resource,Contains,Hosts (child),Cloud Service Account,Cloud Resource
ci-hyper-v-resource-pool,ci-hyper-v-server,Contains,Contains (parent),Hyper-V Resource Pool,Hyper-V Server
ci-hyper-v-server,ci-fibre-channel-port,Depends on,Owns (parent),Hyper-V Server,Fibre Channel Port
ci-nas-file-system,ci-storage-pool,Uses,Provided By (parent),NAS File System,Storage Pool
ci-web-service,ci-ibm-websphere-as,Runs on,Runs on (parent),Web Service,IBM WebSphere AS
ci-virtual-machine-instance,ci-image,Uses,Provisioned From (parent),Virtual Machine Instance,Image
ci-resource-group,ci-cloud-subnet,Contains,Contains (parent),Resource Group,Cloud Subnet
ci-data-power-hosting-server,ci-ip-switch,Connects to,IP Connection (parent),Data Power Hosting Server,IP Switch
ci-file-system,ci-storage-pool,Uses,Provided By (parent),File System,Storage Pool
ci-ot-control-module,ci-plc,Depends on,Owned by (child),OT Control Module,PLC
ci-hyper-v-virtual-machine-instance,ci-hyper-v-virtual-network-component,Connects to,Connected by (parent),Hyper-V Virtual Machine Instance,Hyper-V Virtual Network Component
ci-openstack-datacenter,ci-compute-security-group,Contains,Hosts (child),Openstack Datacenter,Compute Security Group
ci-cmdb-ci-ot-isa-entity,ci-ot-system-service,Depends on,Managed by (parent),cmdb_ci_ot_isa_entity,OT System Service
ci-load-balancer-service,ci-citrix-netscaler,Runs on,Runs on (parent),Load Balancer Service,Citrix Netscaler
ci-aix-server,ci-file-system,Contains,Contains (parent),AIX Server,File System
ci-ace,ci-load-balancer-service,Runs on,Runs (child),ACE,Load Balancer Service
ci-cloud-account-group,ci-cmdb-ci-cloud-org,Contains,Contained by (child),Cloud Account Group,cmdb_ci_cloud_org
ci-cloud-service-account,ci-azure-datacenter,Contains,Hosts (child),Cloud Service Account,Azure Datacenter
ci-azure-ai-project,ci-azure-ai-foundry,Contains,Contained by (child),Azure AI Project,Azure AI Foundry
ci-load-balancer-pool,ci-instance-scale-set,Uses,Consumed by (child),Load Balancer Pool,Instance Scale Set
ci-disk,ci-disk-shelf-chassis,Runs on,Hosted on (parent),Disk,Disk Shelf Chassis
ci-openstack-datacenter,ci-storage-volume-snapshot,Contains,Hosts (child),Openstack Datacenter,Storage Volume Snapshot
ci-patch,ci-hpux-server,Depends on,Owned by (child),Patch,HPUX Server
ci-ip-address,ci-storage-node-element,Depends on,Owned by (child),IP Address,Storage Node Element
ci-cloud-gateway,ci-dns-name,Uses,Uses (parent),Cloud Gateway,DNS Name
ci-cloud-public-ip-address,ci-resource-group,Contains,Contained by (child),Cloud Public IP Address,Resource Group
ci-next-hop-routing-rule,ci-exit-interface-routing-rule,Depends on,Owned by (child),Next Hop Routing Rule,Exit Interface Routing Rule
ci-nat-gateway,ci-aws-datacenter,Runs on,Hosted on (parent),NAT Gateway,AWS Datacenter
ci-nas-file-system,ci-computer,Contains,Contained by (child),NAS File System,Computer
ci-network-hostname,ci-unique-certificate,Uses,Uses (parent),Network Hostname,Unique Certificate
ci-kafka-zoo-keeper,ci-zoo-keeper-cluster-node,Runs on,Hosted on (parent),Kafka Zoo Keeper,Zoo Keeper Cluster Node
ci-iscsi-disk,ci-hyper-v-server,Contains,Contained by (child),iSCSI Disk,Hyper-V Server
ci-docker-container,ci-aws-cloud-ecs-task,Runs on,Runs (child),Docker Container,AWS Cloud ECS Task
ci-fortinet-firewall-device,ci-network-adapter,Depends on,Owns (parent),Fortinet Firewall Device,Network Adapter
ci-next-hop-routing-rule,ci-hyper-v-server,Uses,Used by (child),Next Hop Routing Rule,Hyper-V Server
ci-storage-server,ci-storage-node-element,Contains,Allocated to (parent),Storage Server,Storage Node Element
ci-cloud-mgmt-network-interface,ci-ovirt-ldc,Runs on,Hosted on (parent),Cloud Mgmt Network Interface,oVirt LDC
ci-data-power-hosting-server,ci-network-adapter,Depends on,Owns (parent),Data Power Hosting Server,Network Adapter
ci-dns-name,ci-dns-alias,Uses,Used by (parent),DNS Name,DNS Alias
ci-vmware-virtual-machine-template,ci-vmware-vcenter-network,Connects to,Connected by (parent),VMware Virtual Machine Template,VMware vCenter Network
ci-cloud-network,ci-compute-security-group,Contains,Contains (parent),Cloud Network,Compute Security Group
ci-hpux-server,ci-ip-switch,Connects to,IP Connection (parent),HPUX Server,IP Switch
ci-opc-server,ci-ot-control-system,Connects to,Connects to (parent),OPC Server,OT Control System
ci-compute-security-group,ci-aws-datacenter,Runs on,Hosted on (parent),Compute Security Group,AWS Datacenter
ci-ip-switch,ci-wireless-access-point,Depends on,Controller for (parent),IP Switch,Wireless Access Point
ci-fortinet-firewall-device,ci-ip-address,Depends on,Owns (parent),Fortinet Firewall Device,IP Address
ci-vmware-vcenter-datacenter,ci-esx-server,Contains,Contains (parent),VMware vCenter Datacenter,ESX Server
ci-a10-load-balancer,ci-router-interface,Uses,Uses (parent),A10 Load Balancer,Router Interface
ci-google-datacenter,ci-cloud-disk-type,Contains,Hosts (child),Google Datacenter,Cloud Disk Type
ci-cloud-disk-type,ci-availability-zone,Runs on,Hosted on (parent),Cloud Disk Type,Availability Zone
ci-kafka-cluster,ci-kafka-zoo-keeper,Depends on,child:e819fdffc7616010dc4b677703c26038,Kafka Cluster,Kafka Zoo Keeper
ci-kubernetes-node-pool,ci-kubernetes-cluster,Uses,Uses (child),Kubernetes Node Pool,Kubernetes Cluster
ci-network-adapter,ci-ip-switch,Depends on,Owned by (child),Network Adapter,IP Switch
ci-azure-ai-agent,ci-azure-ai-project,Contains,Contained by (child),Azure AI Agent,Azure AI Project
ci-citrix-netscaler,ci-router-interface,Uses,Uses (child),Citrix Netscaler,Router Interface
ci-esx-server,ci-linux-server,Runs on,Virtualizes (child),ESX Server,Linux Server
ci-storage-server,ci-application,Uses,Used by (child),Storage Server,Application
ci-zoo-keeper-cluster,ci-zoo-keeper-cluster-node,Contains,Cluster of (parent),Zoo Keeper Cluster,Zoo Keeper Cluster Node
ci-windows-server,ci-disk,Contains,Contains (parent),Windows Server,Disk
ci-windows-cluster,ci-windows-cluster-resource,Depends on,Gets resources from (child),Windows Cluster,Windows Cluster Resource
ci-windows-cluster-node,ci-cluster-virtual-ip,Depends on,Applicative Flow From (child),Windows Cluster Node,Cluster Virtual IP
ci-websphere-cell,ci-ibm-websphere-as,Contains,Contained by (child),Websphere Cell,IBM WebSphere AS
ci-openstack-endpoint,ci-openstack-service,Connects to,Use End Point To (parent),OpenStack Endpoint,OpenStack Service
ci-solaris-server,ci-solaris-virtual-machine-instance,Runs on,Instantiates (parent),Solaris Server,Solaris Virtual Machine Instance
ci-windows-server,ci-virtual-machine-instance,Runs on,Virtualized by (parent),Windows Server,Virtual Machine Instance
ci-nas-file-system,ci-fibre-channel-disk,Uses,Provides (parent),NAS File System,Fibre Channel Disk
ci-availability-zone,ci-cloud-subnet,Contains,Contains (parent),Availability Zone,Cloud Subnet
ci-kubernetes-deployment,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes Deployment,Cloud Service Account
ci-plc,ci-ews,Connects to,Connected by (child),PLC,EWS
ci-storage-volume,ci-storage-server,Uses,Used by (child),Storage Volume,Storage Server
ci-solaris-server,ci-disk,Contains,Contains (parent),Solaris Server,Disk
ci-sap-sid,ci-sap-scs-application,Uses,Used by (child),SAP SID,SAP SCS Application
ci-sap-jc-application,ci-sap-sid,Uses,Uses (parent),SAP JC Application,SAP SID
ci-cloud-service-account,ci-aws-datacenter,Contains,Hosts (child),Cloud Service Account,AWS Datacenter
ci-storage-volume,ci-storage-file-share,Contains,Allocated to (parent),Storage Volume,Storage File Share
ci-computer,ci-fibre-channel-disk,Contains,Contains (parent),Computer,Fibre Channel Disk
ci-load-balancer-interface,ci-alteon,Depends on,Owned by (child),Load Balancer Interface,Alteon
ci-windows-server,ci-windows-cluster,Contains,Hosts (child),Windows Server,Windows Cluster
ci-google-datacenter,ci-cloud-resource,Contains,Hosts (child),Google Datacenter,Cloud Resource
ci-availability-zone,ci-ibm-datacenter,Contains,Contained by (child),Availability Zone,IBM Datacenter
ci-cluster-resource-group,ci-unix-cluster-resource,Contains,Contains (parent),Cluster Resource Group,UNIX Cluster Resource
ci-fibre-channel-disk,ci-windows-server,Contains,Contained by (child),Fibre Channel Disk,Windows Server
ci-ip-switch,ci-citrix-netscaler,Connects to,IP Connection (child),IP Switch,Citrix Netscaler
ci-load-balancer-pool,ci-citrix-netscaler,Depends on,Owned by (child),Load Balancer Pool,Citrix Netscaler
ci-nutanix-host,ci-nutanix-virtual-machine-instance,Runs on,Has registered (child),Nutanix Host,Nutanix Virtual Machine Instance
ci-load-balancer-service,ci-f5-big-ip,Runs on,Runs on (parent),Load Balancer Service,F5 BIG-IP
ci-switch-partition,ci-switchport,Runs on,Runs on (parent),Switch Partition,Switchport
ci-windows-server,ci-load-balancer-service,Routes to,Distributed by (parent),Windows Server,Load Balancer Service
ci-ibm-websphere-as,ci-web-application,Contains,Contains (parent),IBM WebSphere AS,Web Application
ci-solaris-server,ci-ip-switch,Connects to,IP Connection (parent),Solaris Server,IP Switch
ci-service,ci-endpoint,Depends on,Depends on (parent),Service,Endpoint
ci-ip-camera,ci-video-management-system,Uses,Used by (child),IP Camera,Video Management System
ci-site,ci-iot-device,Contains,Contains (parent),Site,IoT Device
ci-ibm-datacenter,ci-ibm-cloud-space,Contains,Contains (parent),IBM Datacenter,IBM Cloud Space
ci-alteon,ci-network-adapter,Depends on,Owns (parent),Alteon,Network Adapter
ci-router-interface,ci-ip-router,Uses,Used by (child),Router Interface,IP Router
ci-aws-cloud-ecs-task,ci-virtual-machine-instance,Runs on,Runs on (parent),AWS Cloud ECS Task,Virtual Machine Instance
ci-cmdb-ci-cloud-org,ci-cloud-account-group,Contains,Contains (parent),cmdb_ci_cloud_org,Cloud Account Group
ci-ews,ci-scada-server,Connects to,Connects to (parent),EWS,SCADA Server
ci-kubernetes-cluster,ci-linux-server,Depends on,Manages (child),Kubernetes Cluster,Linux Server
ci-cluster-virtual-ip,ci-windows-cluster-node,Uses,Used by (child),Cluster Virtual IP,Windows Cluster Node
ci-dcs,ci-opc-server,Connects to,Connected by (child),DCS,OPC Server
ci-docker-local-image,ci-docker-container,Runs on,Instantiated by (child),Docker Local Image,Docker Container
ci-cloud-network,ci-resource-group,Contains,Contained by (child),Cloud Network,Resource Group
ci-network-adapter,ci-f5-big-ip,Depends on,Owned by (child),Network Adapter,F5 BIG-IP
ci-cloud-public-ip-address,ci-aws-datacenter,Runs on,Hosted on (parent),Cloud Public IP Address,AWS Datacenter
ci-windows-server,ci-ip-address,Depends on,Owns (parent),Windows Server,IP Address
ci-load-balancer-service,ci-radware-load-balancer,Runs on,Runs on (parent),Load Balancer Service,Radware Load Balancer
ci-storage-server,ci-storage-cluster,Runs on,Runs on (parent),Storage Server,Storage Cluster
ci-storage-volume,ci-storage-volume-snapshot,Uses,Provisioned From (parent),Storage Volume,Storage Volume Snapshot
ci-vmware-virtual-machine-instance,ci-vmware-vcenter-datacenter,Contains,Contained by (child),VMware Virtual Machine Instance,VMware vCenter Datacenter
ci-kafka-broker,ci-kafka-topic,Contains,Contains (parent),Kafka Broker,Kafka Topic
ci-iot-device,ci-site,Contains,Contained by (child),IoT Device,Site
ci-vmware-vcenter-datacenter,ci-vmware-vcenter-instance,Depends on,Managed by (parent),VMware vCenter Datacenter,VMware vCenter Instance
ci-scada-server,ci-ews,Connects to,Connected by (child),SCADA Server,EWS
ci-storage-pool,ci-storage-node-element,Contains,Contained by (child),Storage Pool,Storage Node Element
ci-rtu,ci-scada-server,Connects to,Connected by (child),RTU,SCADA Server
ci-unique-certificate,ci-network-hostname,Uses,Used by (child),Unique Certificate,Network Hostname
ci-windows-server,ci-hyper-v-server,Runs on,Runs (child),Windows Server,Hyper-V Server
ci-aws-cloud-ecs-cluster,ci-virtual-machine-instance,Uses,Uses (child),AWS Cloud ECS Cluster,Virtual Machine Instance
ci-protocol-converter,ci-ot-control-system,Connects to,Connected by (child),Protocol Converter,OT Control System
ci-aws-cloud-ecs-service,ci-aws-cloud-ecs-cluster,Runs on,Runs on (parent),AWS Cloud ECS Service,AWS Cloud ECS Cluster
ci-configuration-item,ci-unique-certificate,Uses,Used by (parent),Configuration Item,Unique Certificate
ci-sap-sid,ci-sap-di-application,Uses,Used by (child),SAP SID,SAP DI Application
ci-sap-scs-application,ci-sap-sid,Uses,Uses (parent),SAP SCS Application,SAP SID
ci-fibre-channel-port,ci-storage-controller,Depends on,Controlled by (child),Fibre Channel Port,Storage Controller
ci-storage-hba,ci-computer,Depends on,Owned by (child),Storage HBA,Computer
ci-firewall-device,ci-firewall-manager,Depends on,Manages (child),Firewall Device,Firewall Manager
ci-server,ci-cisco-ucs-blade,Runs on,Runs (child),Server,Cisco UCS Blade
ci-fibre-channel-port,ci-hyper-v-server,Depends on,Owned by (child),Fibre Channel Port,Hyper-V Server
ci-load-balancer-pool,ci-cloud-load-balancer-health-service,Uses,Uses (child),Load Balancer Pool,Cloud Load Balancer Health Service
ci-cmdb-ci-cloud-org,ci-cloud-service-account,Contains,Contains (parent),cmdb_ci_cloud_org,Cloud Service Account
ci-cloudfoundry-organization,ci-cloudfoundry-domain,Depends on,Owns (parent),CloudFoundry Organization,CloudFoundry Domain
ci-scada-server,ci-rtu,Connects to,Connects to (parent),SCADA Server,RTU
ci-zones,ci-solaris-virtual-machine-instance,Runs on,Has registered (child),Zones,Solaris Virtual Machine Instance
ci-cloud-load-balancer-health-service,ci-load-balancer-service,Uses,Used by (parent),Cloud Load Balancer Health Service,Load Balancer Service
ci-iscsi-disk,ci-linux-server,Contains,Contained by (child),iSCSI Disk,Linux Server
ci-dynamic-ci-group,ci-offering,Contains,Contained by (child),Dynamic CI Group,Offering
ci-aws-datacenter,ci-hardware-type,Contains,Hosts (child),AWS Datacenter,Hardware Type
ci-load-balancer-vlan,ci-citrix-netscaler,Depends on,Owned by (child),Load Balancer VLAN,Citrix Netscaler
ci-ibm-zos-server,ci-network-adapter,Depends on,Owns (parent),IBM zOS server,Network Adapter
ci-ip-address,ci-fortinet-firewall-device,Depends on,Owned by (child),IP Address,Fortinet Firewall Device
ci-cloud-service-account,ci-kubernetes-node,Contains,Hosts (child),Cloud Service Account,Kubernetes Node
ci-nat-gateway,ci-resource-group,Contains,Contained by (child),NAT Gateway,Resource Group
ci-palo-alto-firewall-device,ci-network-adapter,Depends on,Owns (parent),Palo Alto Firewall Device,Network Adapter
ci-load-balancer-interface,ci-ace,Depends on,Owned by (child),Load Balancer Interface,ACE
ci-cloud-hardware-type,ci-virtual-machine-instance,Uses,Provisioned (child),Cloud Hardware Type,Virtual Machine Instance
ci-cloud-image,ci-aws-datacenter,Runs on,Hosted on (parent),Cloud Image,AWS Datacenter
ci-exit-interface-routing-rule,ci-ip-switch,Uses,Used by (child),Exit Interface Routing Rule,IP Switch
ci-plc,ci-scada-server,Connects to,Connected by (child),PLC,SCADA Server
ci-ip-address,ci-a10-load-balancer,Depends on,Owned by (child),IP Address,A10 Load Balancer
ci-api-product-bundle,ci-api,Contains,Contains (parent),API Product Bundle,API
ci-storage-cluster,ci-storage-server,Depends on,Manages (child),Storage Cluster,Storage Server
ci-cloud-resource,ci-cloud-service-account,Runs on,Hosted on (parent),Cloud Resource,Cloud Service Account
ci-virtual-private-gateway,ci-vpn-connection,Contains,Contains (parent),Virtual Private Gateway,VPN Connection
ci-kubernetes-pod,ci-docker-image,Contains,Contains (parent),Kubernetes Pod,Docker Image
ci-ot-control-module,ci-dpu,Depends on,Owned by (child),OT Control Module,DPU
ci-nfs-endpoint,ci-storage-volume,Connects to,Implement End Point To (parent),NFS Endpoint,Storage Volume
ci-cloud-hardware-type,ci-instance-template,Uses,Used by (child),Cloud Hardware Type,Instance template
ci-tracked-configuration-file,ci-kubernetes-daemonset,Contains,Contained by (child),Tracked Configuration file,Kubernetes DaemonSet
ci-google-datacenter,ci-availability-zone,Contains,Contains (parent),Google Datacenter,Availability Zone
ci-dns-name,ci-hardware,Depends on,Owned by (child),DNS Name,Hardware
ci-network-adapter,ci-ibm-zos-server,Depends on,Owned by (child),Network Adapter,IBM zOS server
ci-linux-server,ci-docker-container,Runs on,Runs (child),Linux Server,Docker Container
ci-isam-server,ci-ip-address,Depends on,Owns (parent),ISAM Server,IP Address
ci-disk,ci-storage-file-share,Contains,Allocated to (parent),Disk,Storage File Share
ci-nat-endpoint,ci-cloud-network,Connects to,Use End Point From (child),NAT Endpoint,Cloud Network
ci-f5-big-ip,ci-cluster,Contains,Hosts (child),F5 BIG-IP,Cluster
ci-network-adapter,ci-radware-load-balancer,Depends on,Owned by (child),Network Adapter,Radware Load Balancer
ci-aws-datacenter,ci-vpn-connection,Contains,Hosts (child),AWS Datacenter,VPN Connection
ci-storage-hba,ci-windows-server,Depends on,Owned by (child),Storage HBA,Windows Server
ci-ibm-hmc-server,ci-ibm-frame,Depends on,Manages (child),IBM HMC Server,IBM Frame
ci-datastore-disk,ci-vmware-vcenter-datastore,Uses,Provides (child),Datastore Disk,VMware vCenter Datastore
ci-unix-cluster-node,ci-unix-cluster,Contains,Cluster of (parent),UNIX Cluster Node,UNIX Cluster
ci-cassandra-cluster-node,ci-cassandra-instance,Contains,Hosts (child),Cassandra Cluster Node,Cassandra Instance
ci-pure-storage-processor,ci-storage-server,Contains,Contained by (child),Pure Storage Processor,Storage Server
ci-load-balancer-pool,ci-f5-big-ip,Depends on,Owned by (child),Load Balancer Pool,F5 BIG-IP
ci-firewall-device,ci-firewall-device-group,Contains,Member of (child),Firewall Device,Firewall Device Group
ci-hardware,ci-network-topology,Contains,Contained by (child),Hardware,Network Topology
ci-disk,ci-storage-node-element,Contains,Contained by (child),Disk,Storage Node Element
ci-computer,ci-load-balancer-service,Routes to,Distributed by (parent),Computer,Load Balancer Service
ci-juniper-firewall-device,ci-juniper-firewall-cluster,Contains,Hosts (child),Juniper Firewall Device,Juniper Firewall Cluster
ci-internet-gateway-endpoint,ci-cloud-network,Connects to,Use End Point From (child),Internet Gateway Endpoint,Cloud Network
ci-compute-security-group,ci-openstack-datacenter,Runs on,Hosted on (parent),Compute Security Group,Openstack Datacenter
ci-ovirt-cluster,ci-ovirt-virtual-machine-instance,Contains,Hosts (child),oVirt Cluster,oVirt Virtual Machine Instance
ci-file-system,ci-information-object,Uses,Used by (child),File System,Information Object
ci-linux-server,ci-nas-file-system,Contains,Contains (parent),Linux Server,NAS File System
ci-network-circuit,ci-provider-device,Connects to,Connects to (parent),Network Circuit,Provider Device
ci-kafka-cluster-node,ci-kafka-cluster,Contains,Cluster (child),Kafka Cluster Node,Kafka Cluster
ci-ace,ci-router-interface,Uses,Uses (parent),ACE,Router Interface
ci-load-balancer-pool,ci-load-balancer-service,Uses,Used by (child),Load Balancer Pool,Load Balancer Service
ci-cloud-mgmt-network-interface,ci-resource-group,Contains,Contained by (child),Cloud Mgmt Network Interface,Resource Group
ci-storage-node-element,ci-storage-cluster,Depends on,Managed by (parent),Storage Node Element,Storage Cluster
ci-juniper-firewall-device,ci-network-adapter,Depends on,Owns (parent),Juniper Firewall Device,Network Adapter
ci-kubernetes-cluster,ci-edge-application,Runs on,Runs on (parent),Kubernetes Cluster,Edge Application
ci-file-system,ci-solaris-server,Contains,Contained by (child),File System,Solaris Server
ci-cloud-image,ci-cloud-service-account,Runs on,Hosted on (parent),Cloud Image,Cloud Service Account
ci-hardware-type,ci-database,Uses,Provisioned (child),Hardware Type,Database
ci-computer,ci-network-adapter,Depends on,Owns (parent),Computer,Network Adapter
ci-hyper-v-server,ci-fibre-channel-disk,Contains,Contains (parent),Hyper-V Server,Fibre Channel Disk
ci-hyper-v-storage-component,ci-hyper-v-storage,Depends on,Managed by (parent),Hyper-V Storage Component,Hyper-V Storage
ci-cloud-hardware-type,ci-aws-datacenter,Runs on,Hosted on (parent),Cloud Hardware Type,AWS Datacenter
ci-resource-group,ci-instance-scale-set,Contains,Contains (parent),Resource Group,Instance Scale Set
ci-docker-container,ci-aws-cloud-ecs-cluster,Uses,Used by (parent),Docker Container,AWS Cloud ECS Cluster
ci-openstack-datacenter,ci-cloud-key-pair,Contains,Hosts (child),Openstack Datacenter,Cloud Key Pair
ci-avi-controller,ci-avi-controller-cluster,Contains,Cluster (child),AVI Controller,AVI Controller Cluster
ci-hyper-v-server,ci-exit-interface-routing-rule,Uses,Uses (parent),Hyper-V Server,Exit Interface Routing Rule
ci-dns-zone,ci-cloud-network,Connects to,Connected by (parent),DNS Zone,Cloud Network
ci-citrix-netscaler,ci-load-balancer-vlan,Depends on,Owns (parent),Citrix Netscaler,Load Balancer VLAN
ci-kubernetes-statefulset,ci-tracked-configuration-file,Contains,Contains (parent),Kubernetes StatefulSet,Tracked Configuration file
ci-availability-zone,ci-cloud-location-group,Contains,Contains (parent),Availability Zone,Cloud Location Group
ci-kafka-consumer,ci-kafka-consumer-group,Contains,Member of (child),Kafka Consumer,Kafka Consumer Group
ci-opc-server,ci-plc,Connects to,Connects to (parent),OPC Server,PLC
ci-cloud-subnet,ci-resource-group,Contains,Contained by (child),Cloud Subnet,Resource Group
ci-virtual-machine-instance,ci-nfs-endpoint,Connects to,Use End Point To (parent),Virtual Machine Instance,NFS Endpoint
ci-plc,ci-rtu,Connects to,Connected by (child),PLC,RTU
ci-iscsi-disk,ci-windows-server,Contains,Contained by (child),iSCSI Disk,Windows Server
ci-customer-gateway,ci-aws-datacenter,Runs on,Hosted on (parent),Customer Gateway,AWS Datacenter
ci-hyper-v-storage,ci-hyper-v-virtual-machine-instance,Contains,Contained by (child),Hyper-V Storage,Hyper-V Virtual Machine Instance
ci-unix-cluster-resource,ci-cluster-resource-group,Contains,Contained by (child),UNIX Cluster Resource,Cluster Resource Group
ci-unix-cluster-node,ci-cluster-resource-group,Contains,Contains (parent),UNIX Cluster Node,Cluster Resource Group
ci-ot-supervisory-system,ci-protocol-converter,Connects to,Connects to (parent),OT Supervisory System,Protocol Converter
ci-protocol-converter,ci-ot-supervisory-system,Connects to,Connected by (child),Protocol Converter,OT Supervisory System
ci-radware-load-balancer,ci-router-interface,Uses,Uses (parent),Radware Load Balancer,Router Interface
ci-windows-server,ci-file-system,Contains,Contains (parent),Windows Server,File System
ci-openstack-datacenter,ci-cloud-load-balancer,Contains,Hosts (child),Openstack Datacenter,Cloud Load Balancer
ci-hmi,ci-plc,Connects to,Connects to (parent),HMI,PLC
ci-kafka-cluster,ci-kafka-cluster-node,Contains,Cluster of (parent),Kafka Cluster,Kafka Cluster Node
ci-solaris-server,ci-patch,Depends on,Owns (parent),Solaris Server,Patch
ci-cloud-image,ci-resource-group,Contains,Contained by (child),Cloud Image,Resource Group
ci-ip-address,ci-dns-name,Uses,Used by (child),IP Address,DNS Name
ci-file-system,ci-aix-server,Contains,Contained by (child),File System,AIX Server
ci-linux-server,ci-disk,Contains,Contains (parent),Linux Server,Disk
ci-cloud-key-pair,ci-openstack-datacenter,Runs on,Hosted on (parent),Cloud Key Pair,Openstack Datacenter
ci-mssql-availability-group-replica,ci-ms-sql-database,Contains,Contains (parent),MSSQL Availability Group Replica,MS SQL DataBase
ci-vmware-vcenter-datacenter,ci-vmware-vcenter-cluster,Contains,Contains (parent),VMware vCenter Datacenter,VMware vCenter Cluster
ci-virtual-machine-instance,ci-iscsi-endpoint,Connects to,Use End Point To (parent),Virtual Machine Instance,ISCSI Endpoint
ci-ip-address,ci-juniper-firewall-device,Depends on,Owned by (child),IP Address,Juniper Firewall Device
ci-virtual-machine-instance,ci-dns-name,Contains,Contains (parent),Virtual Machine Instance,DNS Name
ci-ip-switch,ci-exit-interface-routing-rule,Uses,Uses (parent),IP Switch,Exit Interface Routing Rule
ci-scada-server,ci-historian,Connects to,Connected by (child),SCADA Server,Historian
ci-virtual-machine-instance,ci-storage-volume,Uses,Uses (parent),Virtual Machine Instance,Storage Volume
ci-kong-load-balancer,ci-api-backend,Uses,Used by (child),Kong Load Balancer,API Backend
ci-iscsi-endpoint,ci-virtual-machine-instance,Connects to,Use End Point From (child),ISCSI Endpoint,Virtual Machine Instance
ci-availability-zone,ci-storage-volume,Contains,Contains (parent),Availability Zone,Storage Volume
ci-firewall-device-group,ci-firewall-manager,Contains,Contained by (child),Firewall Device Group,Firewall Manager
ci-kafka-cluster,ci-kafka-connect,Connects to,Connects to (parent),Kafka Cluster,Kafka Connect
ci-cisco-ucs-blade,ci-cisco-ucs-chassis,Contains,Contained by (child),Cisco UCS Blade,Cisco UCS Chassis
ci-vmware-virtual-machine-instance,ci-vmware-vcenter-folder,Contains,Contained by (child),VMware Virtual Machine Instance,VMware vCenter Folder
ci-dns-name,ci-cloud-load-balancer,Contains,Contained by (child),DNS Name,Cloud Load Balancer
ci-unix-cluster,ci-cluster-virtual-ip,Runs on,Virtualized by (parent),UNIX Cluster,Cluster Virtual IP
ci-load-balancer-pool,ci-cloud-load-balancer,Uses,Used by (child),Load Balancer Pool,Cloud Load Balancer
ci-sap-sid,ci-sap-jc-application,Uses,Used by (child),SAP SID,SAP JC Application
ci-sap-ers-application,ci-sap-sid,Uses,Uses (parent),SAP ERS Application,SAP SID
ci-vmware-virtual-machine-instance,ci-esx-resource-pool,Contains,Member of (child),VMware Virtual Machine Instance,ESX Resource Pool
ci-virtual-machine-instance,ci-hardware-type,Uses,Provisioned From (parent),Virtual Machine Instance,Hardware Type
ci-windows-cluster-node,ci-windows-server,Runs on,Hosted on (parent),Windows Cluster Node,Windows Server
ci-cloud-system-management-agent,ci-configuration-item,Runs on,Runs on (parent),Cloud System Management Agent,Configuration Item
ci-solaris-server,ci-package,Depends on,Owns (parent),Solaris Server,Package
ci-storage-volume,ci-disk,Uses,Provided by (child),Storage Volume,Disk
ci-ovirt-virtual-machine-instance,ci-ovirt-ldc,Runs on,Hosted on (parent),oVirt Virtual Machine Instance,oVirt LDC
ci-load-balancer-service,ci-availability-zone,Contains,Contained by (child),Load Balancer Service,Availability Zone
ci-opc-server,ci-opc-client,Connects to,Connected by (child),OPC Server,OPC Client
ci-database,ci-server,Runs on,Hosted on (parent),Database,Server
ci-cloud-network,ci-aws-datacenter,Runs on,Hosted on (parent),Cloud Network,AWS Datacenter
ci-solaris-server,ci-file-system,Contains,Contains (parent),Solaris Server,File System
ci-intrusion-detection-system,ci-operational-technology-ot,Depends on,Detects (parent),Intrusion Detection System,Operational Technology (OT)
ci-logical-datacenter,ci-kubernetes-cluster-role,Contains,Hosts (child),Logical Datacenter,Kubernetes Cluster Role
ci-virtual-machine-instance,ci-block-endpoint,Connects to,Use End Point To (parent),Virtual Machine Instance,Block Endpoint
